Transaction Description,Type,Category,Amount ($)
PaymeNT rECeIved: hOliDaY reWard,Income,Gift/Bonus,1819.28
Paid cvs pharmacy via card,Expense,Health & Medical,315.84
PaiD SPecTrum viA card,Expense,Utilities,808.15
Credited from store return refund,Income,Refunds,2104.09
tenant payment deposit received,Income,Rent Income,461.76
fiverr payment credited to account,Income,Freelance,8482.23
myntRa CHarge,Expense,Shopping,50.93
tenant payment credited to account,Income,Rent Income,4494.74
Received mutual fund profit,Income,Investments,2633.43
ebay charge,Expense,Shopping,630.61
Payment to amazon.com,Expense,Shopping,276.6
ReceivEd bIRThDaY Gift mOneY,Income,Gift/Bonus,7666.17
upwork payout credited to account,Income,Freelance,5081.21
Income via o2ffice lease income,Income,Rent Income,735.2
Paid grubhUb VIa card,Expense,Restaurants,413.2
electric co-op monthly bill,Expense,Utilities,337.23
urgent care charge,Expense,Health & Medical,928.72
airbnb charge,Expense,Travel,268.22
Bank credit from upwork payout,Income,Freelance,2854.95
Payment to verizon,Expense,Utilities,226.29
Bank credit from shop revenue,Income,Business Revenue,727.92
Purchase at youtube premium,Expense,Subscriptions,799.8
pg&e bill  order #1495,Expense,Utilities,549.49
disney plus - order #4920,Expense,Subscriptions,60.54
investment return deposit received,Income,Interest/Dividends,2591.14
Received monthly salary,Income,Salary,1549.57
IncoMe viA STorE reTurN refuNd,Income,Refunds,4599.16
Payment received: store deposit,Income,Business Revenue,2261.57
Incomevia fd interest,Income,Interest/Dividends,3934.45
Bank credit from fd inte0rest,Income,Interest/Dividends,1195.88
gym membership charge,Expense,Health & Medical,676.47
Credited from b2b invoice payment,Income,Business Revenue,4153.39
bp gas monthly bill,Expense,Transportation,163.91
Income via store return refund,Income,Refunds,4615.59
electric co-op - order #2379,Expense,Utilities,321.65
hospital charge,Expense,Health & Medical,14.04
cash prize credited to account,Income,Gift/Bonus,1654.36
paypal refund deposit received,Income,Refunds,1409.9
Purchase at chevron,Expense,Transportation,375.57
amazon.com charge,Expense,Shopping,848.04
Payment received: holiday reward,Income,Gift/Bonus,2271.84
Payme6nt to parking garage,Expense,Transportation,939.54
Received holiday reward,Income,Gift/Bonus,4881.41
Credited from store deposit,Income,Business Revenue,2487.45
Paid myntra via card,Expense,Shopping,834.18
contract project payment deposit received,Income,Freelance,6190.85
wAlmArT grOcERy chARgE,Expense,Groceries,685.89
Bank credit from monthly salary,Income,Salary,5119.4
cvs pharmacy monthly bill,Expense,Health & Medical,29.71
investment return credited to account,Income,Interest/Dividends,2981.51
flipkart - order #5494,Expense,Shopping,521.43
Purchase at makemytrip,Expense,Travel,661.23
mcdonald transaction,Expense,Restaurants,365.4
costco charge,Expense,Groceries,924.21
freElance gIg credited tO accoUnt,Income,Freelance,4601.85
walgreens -6 order #6632,Expense,Health & Medical,82.59
Payment to urgent care,Expense,Health & Medical,242.65
netflix monthly bill,Expense,Subscriptions,55.4
fl6ipkart charge,Expense,Shopping,513.75
investment return credited to account,Income,Interest/Dividends,5425.48
sTock dividENd crEditeD to aCcount,Income,Investments,6834.54
Purchase at uber trip,Expense,Transportation,452.58
Bank credit from stock dividend,Income,Investments,2815.83
city7 water transaction,Expense,Utilities,800.9
PAymeNt tO AmAzon.coM,Expense,Shopping,425.86
Payment received:1 customer payment,Income,Business Revenue,5243.31
cvs pharmacy charge,Expense,Health & Medical,262.31
aiRbNB trAnsaCtion,Expense,Travel,745.95
onlInE salE deposIt reCeivEd,Income,Business Revenue,4221.26
amazon.com transaction,Expense,Shopping,131.27
Credited from crypto gain,Income,Investments,4570.3
oyo rooms monthly bill,Expense,Travel,777.89
mutual Fund p@rOfit dEPosiT receIvEd,Income,Investments,7869.46
Bank credit from holiday reward,Income,Gift/Bonus,5961.34
costco transaction,Expense,Groceries,862.6
shell oil transaction,Expense,Transportation,492.76
Paid kfc via card,Expense,Restaurants,375.71
publix charge,Expense,Groceries,564.77
compaNy payroLL DeposIt receiveD,Income,Salary,4277.88
cRYpTO1 Gain creDItEd to accouNt,Income,Investments,1338.87
Credited fromholiday reward,Income,Gift/Bonus,5684.07
Income via monthly salary,Income,Salary,1981.74
Payment received: paypal refund,Income,Refunds,3698.2
Payment to t-mobile,Expense,Utilities,588.26
Credited from upwork payout,Income,Freelance,7656.8
disney plus - order #6764,Expense,Subscriptions,465.54
pg&e bill charge,Expense,Utilities,427.34
lyft ride charge,Expense,Transportation,518.33
Credited from contract project payment,Income,Freelance,9311.43
nse return deposit received,Income,Investments,9500.71
Paid youtube premium via card,Expense,Subscriptions,165.0
PUrcHase aT AMazoN.com,Expense,Shopping,302.22
Income via investment return,Income,Interest/Dividends,6877.35
Received b2b invoice payment,Income,Business Revenue,9241.13
coMcaST montHly bill,Expense,Utilities,65.17
Income via b2b invoice payment,Income,Business Revenue,9218.1
B6Ank creDIT From sTOck dividenD,Income,Investments,2755.94
Received performance bonus,Income,Gift/Bonus,3253.53
contract project payment deposit received,Income,Freelance,8408.26
verizOn mOnthlY bIll,Expense,Utilities,373.55
Payment to t-mobile,Expense,Utilities,573.14
airbnb monthly bill,Expense,Travel,157.61
Received house rent,Income,Rent Income,9516.09
mcdonald transaction,Expense,Restaurants,325.39
Credited fr9om monthly salary,Income,Salary,3821.77
verizon - order #5594,Expense,Utilities,74.07
BANk cReDiT from shaRe sale profit,Income,Investments,9263.5
Purchase at trader joe,Expense,Groceries,619.23
spectrum - order #3343,Expense,Utilities,188.41
salary from google credited# to account,Income,Salary,5403.16
chevron transaction,Expense,Transportation,764.73
walgreens monthly bill,Expense,Health & Medical,656.67
Purchase at makemytrip,Expense,Travel,625.44
Income via crypto gain,Income,Investments,6004.15
Credited from company payroll,Income,Salary,712.03
amazon.com - order #5020,Expense,Shopping,967.26
t-mobile transaction,Expense,Utilities,508.68
Income via crypto gain,Income,Investments,5779.07
city water transaction,Expense,Utilities,459.31
ebay monthly bill,Expense,Shopping,958.22
investment return deposit received,Income,Interest/Dividends,8924.55
Purchase at comcast,Expense,Utilities,676.92
Paymentto burger king,Expense,Restaurants,881.99
target charge,Expense,Shopping,426.56
Credited from fiverr payment,Income,Freelance,7883.01
airbnb - order #3650,Expense,Travel,358.6
Payment recei0ved: store return refund,Income,Refunds,9992.29
co7stco monthly bill,Expense,Groceries,572.72
costco - order #8017,Expense,Groceries,708.38
Payment received: tenant payment,Income,Rent Income,7681.42
Paid city water via card,Expense,Utilities,301.46
Income via fd interest,Income,Interest/Dividends,8821.53
Credited from client transfer,Income,Freelance,6005.06
Bank credit from investment return,Income,Interest/Dividends,5070.91
t-mobile transaction,Expense,Utilities,549.66
Bank credit from festival bonus,Income,Gift/Bonus,217.06
PUrchAsE at trIpaDvisOr,Expense,Travel,954.98
Paid youtube premium via card,Expense,Subscriptions,360.35
PaYm0ent ReCeiVEd: cORpOrATE PAyment,Income,Salary,2627.89
trader joe - oder #6910,Expense,Groceries,998.48
office lease income credited to account,Income,Rent Income,7232.14
Paid makemytrip via card,Expense,Travel,465.62
paYpal REfuNd dePOsiT received,Income,Refunds,7682.08
Paid city water via card,Expense,Utilities,945.77
fd interest credited to account,Income,Interest/Dividends,7752.32
Credited from store deposit,Income,Business Revenue,3287.68
airbnb charge,Expense,Travel,435.63
investment return credited to account,Income,Interest/Dividends,6745.25
meijer charge,Expense,Groceries,539.7
ApPle muSiC chaRge,Expense,Subscriptions,64.25
contract project payment deposit received,Income,Freelance,2161.49
ubereats transaction,Expense,Restaurants,936.36
Received property lease payment,Income,Rent Income,175.3
Payment to t-mobile,Expense,Utilities,531.11
Bank credit from online sale,Income,Business Revenue,7756.88
PUrCHase at cOMcaSt,Expense,Utilities,28.65
ebay monthly bill,Expense,Shopping,238.28
costco - order #5225,Expense,Groceries,603.14
Income via monthly salary,Income,Salary,3856.42
Bank# credit from holiday reward,Income,Gift/Bonus,6455.87
PUrChAse At YoUtUbe PreMiUm,Expense,Subscriptions,220.39
Paid amazon prime via card,Expense,Subscriptions,550.35
Bank credit from online sale,Income,Business Revenue,1472.38
airbnb charge,Expense,Travel,80.9
indigo - order #8315,Expense,Travel,151.48
Purchase at shell oil,Expense,Transportation,690.52
tripadvisor transaction,Expense,Travel,372.35
Purchase at apple music,Expense,Subscriptions,820.68
customer payment credited to account,Income,Business Revenue,8281.78
Received house rent,Income,Rent Income,5889.8
VErizoN monTHly biLl,Expense,Utilities,749.78
spectrum monthly bill,Expense,Utilities,635.76
PUrCHaSe at burGer kiNg,Expense,Restaurants,725.71
Paid subway via card,Expense,Restaurants,99.28
birthday gift money deposit received,Income,Gift/Bonus,3095.65
Bank credit from ofice lease incom3e,Income,Rent Income,5296.24
Received monthly salary,Income,Salary,4001.94
Payment received: contract project payment,Income,Freelance,5354.37
bank refund deposit received,Income,Refunds,2318.56
Received dividend credit,Income,Interest/Dividends,1792.94
cash prize credited to account,Income,Gift/Bonus,1913.27
Income via freelance gig,Income,Freelance,2182.05
domino's pizza charge,Expense,Restaurants,647.27
store deposit deposit received,Income,Business Revenue,9751.03
YOutUBE preMiUM moNthly bill,Expense,Subscriptions,159.81
oyo rooms - order #9585,Expense,Travel,222.26
aMAzon refunD cReDitED to accouNT,Income,Refunds,2350.66
grubhub - order #7105,Expense,Restaurants,961.36
best buy transaction,Expense,Shopping,398.45
ban refund deposit received,Income,Refunds,5747.91
aldi - order #6627,Expense,Groceries,767.09
property lease payment credited to account,Income,Rent Income,4429.56
Purchase at target,Expense,Shopping,131.1
Purc4hase at hulu,Expense,Subscriptions,883.52
publix charge,Expense,Groceries,258.87
mcdonald charge,Expense,Restaurants,273.61
Payment to mcdonald,Expense,Restaurants,668.37
mcdonaLd tRANSactiOn,Expense,Restaurants,152.58
Payment received: store return refund,Income,Refunds,5173.36
hospital transaction,Expense,Health & Medical,234.47
proPErtY lease pAyMENt DePoSit ReCeived,Income,Rent Income,669.99
indigo charge,Expense,Travel,592.26
walmart charge,Expense,Shopping,195.69
Payment received: b2b i1nvoice payment,Income,Business Revenue,5888.46
cvs pharmacy - order #6486,Expense,Health & Medical,834.92
Paid comcast via card,Expense,Utilities,481.08
Bank credit from house rent,Income,Rent Income,7974.56
Bank credit from9 mtual fund profit,Income,Investments,8162.32
Bank credit from festival bonus,Income,Gift/Bonus,2803.84
stock dividend credited to account,Income,Investments,7157.23
gym memb0ership transaction,Expense,Health & Medical,945.36
disney plus harge,Expense,Subscriptions,933.85
amAzOn PrImE - oRDEr #1148,Expense,Subscriptions,298.24
tripadvisor charge,Expense,Travel,617.13
netflix monthly bill,Expense,Subscriptions,721.06
amazon refund deposit received,Income,Refunds,648.67
hulu - order #9419,Expense,Subscriptions,731.12
contract project payment deposit received,Income,Freelance,5664.05
Purchase at subway,Expense,Restaurants,863.6
makemytrip - order #7524,Expense,Travel,988.2
Received festival bonus,Income,Gift/Bonus,2237.49
Purchase at walgreens,Expense,Health & Medical,540.32
Income via share sale profit,Income,Investments,7140.68
Purchase at tripadvisor,Expense,Travel,384.85
Bank credit from holiday reward,Income,Gift/Bonus,679.98
Paid subway via card,Expense,Restaurants,705.0
dividend credit 8deposit received,Income,Interest/Dividends,5684.91
Bank credit from client transfer,Income,Freelance,8558.83
coRporAte pAymEnt DePOsIT received,Income,Salary,5040.11
Payment to costco,Expense,Groceries,88.3
PaymenT rEcEIved: StorE reTuRn refunD,Income,Refunds,2788.49
oyo rooms cha7rge,Expense,Travel,948.18
Bank credit from investment return,Income,Interest/Dividends,2613.82
Credited from house rent,Income,Rent Income,6748.2
apple music charge,Expense,Subscriptions,775.7
Payment to spotify,Expense,Subscriptions,587.73
flipkart charge,Expense,Shopping,657.54
cityWAter - orDe2r #7627,Expense,Utilities,96.1
shop revenue deposit rceived,Income,Business Revenue,7740.73
shop revenue credited to account,Income,Business Revenue,8394.03
trader joe transaction,Expense,Groceries,268.51
Credited from nse return,Income,Investments,8216.31
Received share sale p7rofit,Income,Investments,9571.25
stock dividend credited to account,Income,Investments,7102.35
Bank cReDiT from DiviDenD creDIt,Income,Interest/Dividends,7049.46
PaymenT tO STarBUcKs,Expense,Restaurants,644.89
spotify charge,Expense,Subscriptions,724.31
myntra monthly bill,Expense,Shopping,529.17
air4bnb charge,Expense,Travel,359.71
Received fiverr payment,Income,Freelance,3922.56
amazon.com - order #8743,Expense,Shopping,59.69
Purchase at starbucks,Expense,Restaurants,100.43
performance bonus deposit received,Income,Gift/Bonus,7995.46
hulu transaction,Expense,Subscriptions,549.72
Paid hulu via card,Expense,Subscriptions,244.13
monthly salary deposit received,Income,Salary,5082.22
target transaction,Expense,Shopping,87.15
Paid kroger via card,Expense,Groceries,851.62
crypto gain credited to account,Income,Investments,3603.26
Received stock dividend,Income,Investments,2658.54
Received shop revenue,Income,Business Revenue,9852.6
disney pl7us charge,Expense,Subscriptions,941.17
gym membership monthly bill,Expense,Health & Medical,197.18
metro ticket transaction,Expense,Transportation,936.59
birthday gift money credited to account,Income,Gift/Bonus,6727.58
Income via crypto gain,Income,Investments,2592.94
Bank2 credit from customer payment,Income,Business Revenue,8768.16
ReceivED inVestmenT return,Income,Interest/Dividends,721.85
InCOme Via InvestMEnT return,Income,Interest/Dividends,5482.6
Purchase at comcast,Expense,Utilities,135.1
Purchase at target,Expense,Shopping,558.48
Received monthly salary,Income,Salary,9077.89
Payment to ebay,Expense,Shopping,149.41
bp gas - order #9413,Expense,Transportation,803.21
Received performance bonus,Income,Gift/Bonus,2100.99
Income via mutual fu0nd profit,Income,Investments,975.15
Purchase at walmart grocery,Expense,Groceries,889.36
Paid best buy via card,Expense,Shopping,144.93
Payment received: monthly salary,Income,Salary,588.41
fiverr payment deposit received,Income,Freelance,4109.13
corpoRaTE Payment DEposiT rEceiveD,Income,Salary,982.68
holiday reward deposit received,Income,Gift/Bonus,6646.63
